,date,open,close,high,low,volume,money
34,2021-02-25,3768.97,3757.96,3782.59,3740.55,36572248000.0,444152835533.0
35,2021-02-26,3684.0,3678.27,3721.64,3669.52,33283115800.0,424091884663.0
36,2021-03-01,3701.78,3722.64,3723.86,3681.29,31514936500.0,402103903406.0
37,2021-03-02,3738.86,3677.71,3738.86,3653.34,33958468200.0,427347886743.0
38,2021-03-03,3668.87,3749.34,3750.1,3667.35,34733341900.0,415181741512.0
39,2021-03-04,3717.57,3672.35,3723.43,3655.44,39328152400.0,461923395385.0
40,2021-03-05,3630.17,3670.79,3693.44,3623.22,35617116800.0,408613495413.0
41,2021-03-08,3694.92,3586.29,3713.09,3586.08,38670235100.0,453487513791.0
42,2021-03-09,3579.93,3521.09,3594.39,3488.62,40733290600.0,455860426493.0
43,2021-03-10,3553.14,3519.43,3560.67,3516.38,29954813600.0,339330092215.0
44,2021-03-11,3532.2,3602.38,3602.38,3532.2,32188982900.0,369559593913.0
45,2021-03-12,3613.27,3619.43,3620.92,3581.82,35777276000.0,381714293284.0
46,2021-03-15,3607.67,3584.66,3624.07,3555.89,36758665200.0,381398557440.0
47,2021-03-16,3589.61,3612.77,3615.03,3570.21,31643711700.0,332191319170.0
48,2021-03-17,3601.22,3611.55,3620.46,3574.52,27976607400.0,306382853127.0
49,2021-03-18,3615.84,3629.94,3645.77,3615.56,28420107300.0,316370948993.0
50,2021-03-19,3588.8,3568.68,3605.24,3552.53,30885947300.0,339740721979.0
51,2021-03-22,3570.2,3609.36,3609.6,3568.22,31227660900.0,332275877231.0
52,2021-03-23,3611.35,3575.87,3611.43,3553.35,32614259300.0,343243387425.0
53,2021-03-24,3557.64,3529.23,3579.85,3524.12,31719592200.0,344614875790.0
54,2021-03-25,3516.64,3525.56,3545.11,3506.03,27048898200.0,290071965742.0
55,2021-03-26,3535.77,3582.99,3588.13,3535.77,27445241900.0,322199071559.0
56,2021-03-29,3594.86,3600.77,3616.04,3574.13,28462673600.0,327724583992.0
57,2021-03-30,3597.87,3623.21,3624.22,3588.2,28517877400.0,331419912071.0
58,2021-03-31,3618.52,3607.72,3618.52,3585.6,28278467800.0,313930707579.0
59,2021-04-01,3610.76,3633.33,3637.23,3604.48,27508241700.0,292500474815.0
60,2021-04-02,3639.94,3652.29,3655.65,3629.67,26250712600.0,317711821774.0
61,2021-04-06,3659.89,3650.79,3661.62,3639.03,23459066200.0,286111585476.0
62,2021-04-07,3651.26,3647.27,3651.26,3619.55,29555011400.0,323430902529.0
63,2021-04-08,3634.53,3650.32,3664.34,3625.96,33149427700.0,347807252995.0
64,2021-04-09,3642.85,3616.86,3642.86,3607.89,27987421600.0,306169398209.0
65,2021-04-12,3611.92,3577.32,3622.62,3567.82,30937943800.0,338674483578.0
66,2021-04-13,3575.56,3560.02,3590.38,3551.04,27045264500.0,290372044887.0
67,2021-04-14,3560.61,3581.25,3584.73,3556.34,23305760100.0,268871660297.0
68,2021-04-15,3573.78,3562.63,3573.78,3535.47,23382439300.0,272415108250.0
69,2021-04-16,3571.24,3591.6,3597.92,3557.53,25834748900.0,295695574432.0
70,2021-04-19,3592.57,3644.99,3646.53,3578.73,30236479300.0,368163675988.0
71,2021-04-20,3634.07,3640.16,3662.56,3630.2,28499468300.0,358734744800.0
72,2021-04-21,3622.7,3640.14,3648.88,3616.21,25358449700.0,323683356750.0
73,2021-04-22,3650.54,3631.92,3653.18,3622.69,25086700900.0,316810000975.0
74,2021-04-23,3628.74,3641.47,3650.05,3622.71,24911900800.0,322825409295.0
75,2021-04-26,3651.92,3606.85,3665.54,3604.13,27674458800.0,387900616520.0
76,2021-04-27,3605.72,3608.37,3609.68,3581.78,25285757400.0,326861225414.0
77,2021-04-28,3597.4,3623.52,3623.52,3588.12,24710393300.0,349442939887.0
78,2021-04-29,3624.58,3642.23,3645.73,3613.56,27637668600.0,371362119280.0
79,2021-04-30,3635.3,3612.81,3636.13,3591.87,31228183000.0,400999139038.0
80,2021-05-06,3611.99,3606.97,3638.39,3591.83,31003159300.0,400225166628.0
81,2021-05-07,3612.35,3583.46,3624.39,3581.25,35343197000.0,410728812725.0
82,2021-05-10,3588.39,3593.0,3594.85,3565.69,37379680800.0,399423274585.0
83,2021-05-11,3570.55,3607.53,3614.1,3547.6,35062788600.0,390095409330.0
84,2021-05-12,3594.83,3629.45,3633.26,3593.4,31120762500.0,343676291507.0
85,2021-05-13,3597.31,3594.66,3614.02,3582.93,31897968700.0,356075942872.0
86,2021-05-14,3601.55,3658.48,3658.76,3587.36,33661579000.0,410854250279.0
87,2021-05-17,3658.51,3687.05,3700.57,3658.24,32186260000.0,424235777968.0
88,2021-05-18,3690.24,3699.0,3699.0,3679.96,27107284900.0,335851637553.0
89,2021-05-19,3690.7,3680.08,3690.7,3672.58,27813925100.0,349772742623.0
90,2021-05-20,3669.55,3675.96,3687.29,3654.04,32572375100.0,390132134641.0
91,2021-05-21,3680.05,3654.54,3687.95,3647.33,28355939500.0,355839840953.0
92,2021-05-24,3654.24,3665.78,3666.86,3637.03,28924741500.0,366968478453.0
93,2021-05-25,3671.3,3753.99,3757.4,3671.2,34096889200.0,471995238720.0
94,2021-05-26,3759.77,3766.58,3777.21,3758.22,34169545900.0,455640855069.0
95,2021-05-27,3758.57,3782.87,3801.22,3751.78,30913893700.0,428662207997.0
96,2021-05-28,3784.88,3774.39,3796.84,3755.06,34870467000.0,452169669702.0
97,2021-05-31,3773.65,3789.79,3789.98,3753.27,33109832300.0,449413539337.0
98,2021-06-01,3782.57,3799.47,3800.9,3754.57,35245679000.0,471242012385.0
99,2021-06-02,3801.16,3770.49,3804.26,3757.33,34808073000.0,454223565058.0
100,2021-06-03,3768.69,3756.84,3792.81,3756.83,35355168000.0,443087722443.0
101,2021-06-04,3737.17,3764.9,3793.16,3733.42,33038714700.0,434904770765.0
102,2021-06-07,3770.49,3773.0,3773.88,3754.48,30340118800.0,431887615770.0
103,2021-06-08,3772.16,3752.57,3796.05,3734.89,30409359100.0,442797626416.0
104,2021-06-09,3749.13,3764.4,3772.1,3744.76,29798244700.0,402919356451.0
105,2021-06-10,3760.34,3784.79,3798.96,3756.78,31791203600.0,441857988159.0
106,2021-06-11,3788.21,3762.65,3788.51,3759.92,36028771800.0,495107500510.0
107,2021-06-15,3760.26,3727.86,3766.02,3718.02,34894063300.0,444463492262.0
108,2021-06-16,3728.03,3687.76,3732.62,3682.75,31235652300.0,410388071999.0
109,2021-06-17,3677.3,3695.43,3704.46,3676.3,27700514000.0,388520738085.0
110,2021-06-18,3690.07,3694.91,3705.94,3671.9,29637350200.0,446005150476.0
111,2021-06-21,3684.83,3699.21,3710.89,3672.78,28061170800.0,426325969212.0
112,2021-06-22,3710.34,3728.84,3731.77,3707.22,30718941400.0,436853704808.0
113,2021-06-23,3730.92,3738.07,3749.88,3720.9,31037211500.0,470019205013.0
114,2021-06-24,3740.54,3738.48,3742.5,3719.78,33516980000.0,461013430942.0
115,2021-06-25,3739.24,3781.4,3788.46,3736.23,34571437200.0,483596141151.0
116,2021-06-28,3786.32,3780.16,3788.55,3767.41,32088951900.0,455609624384.0
117,2021-06-29,3775.24,3745.31,3775.38,3742.53,30572602200.0,440591860634.0
118,2021-06-30,3744.73,3764.2,3767.26,3741.46,26791899900.0,414444231791.0
119,2021-07-01,3774.02,3761.68,3781.52,3746.08,29156656000.0,450323606122.0
120,2021-07-02,3741.85,3688.2,3741.85,3683.56,29164203000.0,451964141830.0
121,2021-07-05,3686.23,3704.44,3704.45,3679.54,28765144400.0,444999938747.0
122,2021-07-06,3703.16,3700.12,3708.59,3665.15,31361434500.0,492440675780.0
123,2021-07-07,3677.33,3724.73,3729.11,3673.03,31846587500.0,457181904672.0
124,2021-07-08,3728.41,3695.14,3729.94,3690.47,35056396000.0,526544436915.0
125,2021-07-09,3681.21,3693.64,3699.13,3652.7,34962371000.0,492807104295.0
126,2021-07-12,3715.79,3718.52,3736.56,3697.08,40322352700.0,564476170911.0
127,2021-07-13,3718.25,3738.09,3739.1,3713.25,36191707300.0,511355159207.0
128,2021-07-14,3732.12,3698.17,3732.12,3695.04,37182200100.0,507438679476.0
129,2021-07-15,3688.27,3736.05,3737.45,3683.22,36287366900.0,507192281967.0
130,2021-07-16,3730.71,3709.49,3737.5,3707.84,36556753300.0,518355619746.0
131,2021-07-19,3700.25,3709.4,3715.44,3674.95,33641372800.0,486645297135.0
132,2021-07-20,3684.17,3706.99,3708.93,3678.02,29351113200.0,422404145022.0
133,2021-07-21,3713.56,3734.07,3740.82,3713.56,33867146100.0,517001235603.0
134,2021-07-22,3735.12,3746.72,3748.55,3729.49,38081587500.0,566485932957.0
135,2021-07-23,3743.55,3721.18,3743.69,3711.86,44618100100.0,603966541865.0
136,2021-07-26,3708.18,3634.17,3708.18,3589.37,44249136000.0,638719596867.0
137,2021-07-27,3634.17,3543.69,3651.39,3542.73,46868915300.0,702353401814.0
138,2021-07-28,3517.1,3523.18,3548.26,3471.89,39543419600.0,564351994318.0
139,2021-07-29,3567.51,3575.77,3580.89,3545.21,34425066300.0,539456584500.0
140,2021-07-30,3561.59,3560.74,3568.62,3532.51,38118620000.0,568572063355.0
141,2021-08-02,3548.5,3630.92,3630.92,3529.54,43264777900.0,657682975359.0
142,2021-08-03,3612.54,3613.82,3637.59,3600.65,40045038300.0,603217565672.0
143,2021-08-04,3608.51,3644.44,3644.84,3606.25,34854302800.0,546617735378.0
144,2021-08-05,3628.16,3633.24,3653.81,3615.21,34823053100.0,540210653083.0
145,2021-08-06,3632.12,3624.48,3633.06,3602.13,33657456200.0,516236994503.0
146,2021-08-09,3607.19,3662.65,3671.27,3603.99,34964902700.0,539297243296.0
147,2021-08-10,3656.39,3699.68,3699.68,3644.19,34482388600.0,553215474241.0
148,2021-08-11,3696.72,3702.51,3714.55,3693.52,38339951900.0,541592075208.0
